DATE,LA,SEA,DEN,AUS,DC,DET,PHX,MIN,BOS,MIA,NY,CHI,ATL,LV
12/1/1992,85.81559288,73.23765543,55.59969577,68.58394083,88.81235326,79.17055386,74.90161462,72.90440453,64.46824945,79.84625911,75.40121116,75.84862024,83.4244422,82.89290551
1/1/1993,85.24629519,73.17330474,56.12703475,68.45096379,89.06511779,79.34764191,75.21526459,73.34052595,64.86149485,79.85125091,75.74098727,76.01197427,83.70186638,82.5646482
2/1/1993,84.66070467,73.27825322,56.43268358,68.29010068,89.27957413,79.23639689,75.59570634,73.95768671,64.94981424,80.04271987,75.88738072,76.00864013,83.87020084,83.00877139
3/1/1993,83.61611477,73.73531924,56.95378694,68.06550564,89.43854112,80.24743575,75.67028,74.78362284,64.82354163,80.01972615,75.98770285,76.21545366,84.09230752,83.20102763
4/1/1993,82.79206094,73.92324284,57.14727715,67.99124083,88.941327,80.97467044,75.92417327,75.11750362,64.70848633,80.33049247,76.0685887,76.32460127,84.51563114,82.79883295
5/1/1993,82.04289904,73.90353432,57.56507596,67.76187035,88.48188277,81.72797699,76.21766263,75.43188977,64.83481836,80.9579805,76.1431274,76.69250704,84.96014275,81.96120984
6/1/1993,81.42818087,74.00505134,58.1798766,67.4732631,88.64959241,82.22028572,76.78954131,75.58286371,65.14505551,81.34878134,76.33019992,77.29323673,85.13120331,81.91955989
7/1/1993,80.56679607,73.99362431,58.80981747,66.93130638,88.8177544,82.51900773,77.14320934,75.81561793,65.51829115,81.7976199,76.31694982,77.54880839,85.35477905,81.99296948
8/1/1993,79.48271274,74.45113654,59.53391323,66.9510669,88.92433664,82.83688462,77.4498852,76.05590242,65.73234773,82.02720255,76.27555177,77.62767399,85.55165987,82.39791471
9/1/1993,79.04525862,74.2815639,60.14120307,66.83162536,88.79469402,83.480352,77.60153685,76.23008014,65.84808935,82.35451728,76.33349724,77.81233923,86.0866814,82.87677659
10/1/1993,78.38241194,74.68057666,60.84226607,66.77202383,88.62247271,83.99881203,78.02260145,75.70057189,65.88442887,82.6141469,76.50185049,78.11228431,86.43462937,83.14229149
11/1/1993,78.23052404,74.72447026,61.42960678,66.72437038,88.50734274,84.50289026,78.39280767,75.89646193,66.22363686,82.47747676,76.73839144,78.42613359,86.89557412,83.74022872
12/1/1993,77.57221362,75.15063512,62.24334666,66.63097847,88.83572443,84.7541087,78.86103437,76.13776726,66.51702564,82.71422424,76.8039451,79.10654172,87.19445761,83.79649923
1/1/1994,77.39505181,75.72619341,62.81917654,66.63480933,88.9884667,85.18361346,79.26012939,76.5333279,66.81800036,83.36083072,76.84823089,80.19447946,87.62659139,83.97279008
2/1/1994,77.44437859,76.33377099,63.47928951,66.64856075,89.02117307,85.7432284,79.71497991,76.70318015,67.06787746,84.3493376,76.91018123,80.17072561,87.9882883,83.75534638
3/1/1994,77.26265128,76.86524642,63.94002814,67.3218608,89.30535165,86.27929731,80.07869708,76.81987853,67.46892018,85.17385941,77.2395177,80.07941885,88.5633774,84.07716828
