DATE,LA_Any,LA_Single,STL_Any,STL_Single,SEA_Any,SEA_Single,DEN_Any,DEN_Single,AUS_Any,AUS_Single,SLC_Any,SLC_Single,DC_Any,DC_Single,MEM_Any,MEM_Single,PHX_Any,PHX_Single,CHA_Any,CHA_Single,DET_Any,DET_Single,MIN_Any,MIN_Single,IND_Any,IND_Single,BOS_Any,BOS_Single,MIA_Any,MIA_Single,PHI_Any,PHI_Single,SF_Any,SF_Single,NY_Any,NY_Single,CHI_Any,CHI_Single,HOU_Any,HOU_Single,ATL_Any,ATL_Single,JAC_Any,JAC_Single,KC_Any,KC_Single,LV_Any,LV_Single
8/1/2015,2491.700158,667.9615861,829.5636889,402.8536244,2622.918355,763.6409875,1434.380645,770.7658578,1881.598313,764.8643749,486.474996,319.3734498,1884.98181,1010.025441,227.8372602,232.8836703,2350.450296,1482.380819,1276.114749,981.7012207,479.384082,363.5642792,1045.811935,558.8518691,864.4367098,411.1922233,1149.699827,397.3062125,1402.975891,657.8424849,1171.045364,579.9275256,1016.408121,362.5429792,3397.456429,843.1065311,1540.346437,603.8031626,3939.654758,2857.77698,2191.735994,1594.584101,965.743389,590.9457182,382.2655789,345.6327021,874.2477053,630.6167233
9/1/2015,3766.936927,762.9719025,489.0042045,417.6262948,1840.602673,753.0039816,1889.096816,889.6047163,1791.262694,834.6397704,584.251608,308.9047009,1976.934386,1001.900742,232.1053304,227.3766341,2199.452656,1560.731285,1517.581624,1032.106608,626.2357699,484.4391542,1039.972615,545.2252462,928.3582325,404.780498,1713.417174,437.9372568,1638.888236,581.1901335,1325.723551,568.2436108,840.7337398,375.7340848,3237.842219,867.9564293,1069.40077,635.5448176,4074.901463,3214.533909,1996.399326,1688.209188,797.0070723,784.9711353,1026.456279,402.8325409,732.6500307,645.1112193
10/1/2015,1770.958343,768.877469,457.135062,372.2969432,1693.692912,758.2801099,1060.942982,794.368806,1586.301756,1023.843679,310.4940782,264.7242013,2399.940112,1183.57522,184.4840706,210.7383872,2142.14121,1531.401279,1830.317667,1076.587748,560.5099848,523.0327344,1049.079349,552.2239658,745.680163,473.5692156,1164.599605,388.2663028,1851.707161,478.3947911,1353.712182,553.0427823,823.2287097,325.2414747,4586.662008,786.9689049,1120.414761,621.5039349,5122.477897,3088.398228,2657.978675,1743.510036,1083.600246,610.8490916,768.3399096,413.5594809,1025.273336,621.5213557
11/1/2015,3925.543823,736.6215127,969.941798,336.0194046,1900.677665,762.4177686,1660.514249,816.0804821,1583.659923,1020.533543,571.8032579,238.9746301,2436.961531,974.4994672,237.5912395,210.0360265,2056.843162,1489.820993,1349.798495,1028.74663,707.2599239,420.0010116,1046.248916,535.2409095,979.0324692,463.1741312,1209.531587,457.6601721,2671.559173,607.8388167,1084.867792,577.2244259,913.8171403,369.4487871,3672.859371,900.5839659,2029.270955,656.2970249,4335.584906,2957.012715,3020.465783,1694.685064,705.365642,691.0622084,859.7218641,403.1722163,938.7556144,580.6032467
12/1/2015,2089.826164,674.8172929,696.2464646,400.930965,1687.904376,807.9224602,1810.087785,805.1011687,2942.266563,1010.497606,468.3276,384.4909724,1397.808684,1207.153786,335.5980098,228.2777073,1794.033585,1586.327557,1796.72719,942.7013739,590.1600116,483.9849786,628.4146763,600.5495585,834.8884168,478.9592919,1123.237196,451.3087001,2246.382228,544.5163461,972.5629495,535.5246218,1204.994173,374.6177578,9075.861303,993.7024142,1341.548455,692.8982624,3830.849023,3169.509972,2693.624594,1754.140011,700.8793009,711.0897013,1038.149503,433.4656543,1073.858654,758.9870289
1/1/2016,2426.954185,653.1786125,608.5819978,413.6457773,1919.31475,793.0315292,1668.703527,815.2186781,1985.097718,843.7297433,511.2511778,339.4834841,2054.295994,1130.774103,294.5909645,260.8518458,2624.585483,1461.218929,1375.169721,869.5905423,542.7213409,474.448474,769.8171856,595.5512671,683.0231673,466.7148063,676.8574687,388.0558506,1239.235583,505.4641757,918.9852932,576.4492076,1125.465822,424.7905992,1496.00916,726.0419028,2314.824433,670.4191897,3235.761068,2797.206331,2930.535937,1749.486272,760.5058342,687.4685919,777.7395161,353.5711683,1058.083081,616.1145532
2/1/2016,2799.9218,753.7449472,620.1607796,424.0072942,1559.87422,810.6602233,1612.216242,934.9549768,1657.043748,1075.82087,638.5004783,374.3893258,1385.868833,992.5282092,647.5377835,233.0181073,2024.744336,1546.460224,1096.829039,1047.210172,716.2101395,570.4191293,921.1447545,702.1798035,653.729538,456.0277349,1007.606841,428.1958089,1886.08192,581.0326121,1085.757713,593.2157059,1697.449479,455.4633154,4498.590894,899.5209818,1238.391184,675.5842847,4440.848636,3043.595974,3446.616291,1876.388113,815.9092471,805.7875433,640.8675446,489.1087088,1736.703029,783.2573048
3/1/2016,2233.936417,834.9249695,763.011254,476.3154691,1799.126659,882.00868,1358.033808,848.4124682,1987.489703,1350.041383,730.7599854,388.0479634,2068.290008,1113.506101,257.2878441,233.7967889,1763.579226,1577.748815,1770.410804,999.9363574,610.7362036,534.6347925,937.6463462,665.9926275,630.7759003,487.8764102,928.8420742,488.2466045,1662.595012,522.4040279,997.6536026,601.8698993,1226.804262,363.7795937,2707.008255,984.870117,1885.149952,667.0849868,4374.328897,2958.871694,2807.910457,1934.611182,675.2825138,667.5794749,883.017701,467.0179208,876.0033857,689.1248953
4/1/2016,2758.309348,759.3493068,695.1911918,430.4539576,2076.111788,782.3268281,1511.417399,825.3795982,1369.849279,1159.931981,588.8680518,353.7090313,1865.943437,1024.804165,334.3272297,250.387056,1672.790771,1445.90646,1766.385737,1031.900165,631.1940908,446.9623685,1053.650079,632.5818127,659.3919749,467.8700856,1214.266912,470.3650693,1465.363584,590.0440319,836.2861637,615.4637472,681.7151359,358.1779724,3163.91941,893.4388286,684.3489045,696.5289316,3388.948714,2781.811227,3044.142665,1921.31636,751.8309028,733.0979922,1038.707345,435.6884763,1155.783844,734.7224084
5/1/2016,3269.163286,801.4249063,939.6798893,440.0741013,1908.939062,840.2892108,2204.469996,779.9314283,1772.886225,1104.112274,802.0405112,405.7811942,3205.369244,1051.345345,228.487468,199.0204701,2544.617348,1445.051176,1170.300308,1050.216757,651.991458,458.789277,840.9787931,652.8160432,572.442013,451.2982977,617.8783101,409.9165879,1191.609618,570.4469612,1000.454816,569.7883017,2116.835863,359.248489,3038.579434,801.8457877,1384.362982,631.5769233,4331.193123,2961.800182,2580.535266,1826.142043,893.1303061,761.1849904,625.7921659,381.9964677,1407.332405,722.0802154
6/1/2016,2731.471461,869.9342906,611.6200031,438.5739063,2794.497196,831.7869759,1267.320725,807.9391458,1962.477114,1041.580423,750.319035,370.7149473,2158.843823,1054.870517,307.1931687,261.4600181,3810.30337,1726.723082,1727.641774,1392.454169,630.8122674,511.4652028,1069.1995,649.0601828,509.769812,457.8688826,843.3082056,472.2083495,1024.551472,495.2604658,1129.643469,572.1027061,947.0088508,387.8052725,3524.755129,801.2053098,969.0283618,662.3008486,4502.681794,3047.484033,3518.831005,1858.157461,1019.884846,701.9309287,912.0797214,482.1737469,997.4722704,805.4358753
7/1/2016,2357.971602,704.8684277,712.2984971,425.3561683,1954.467982,752.258708,1569.196927,876.7475629,1936.866783,1078.618644,465.2136523,299.2496608,1481.329846,974.4269489,379.0713337,257.3946336,1471.118795,1247.97123,2201.735347,940.572217,632.5580678,479.0895713,1147.172212,573.9267259,650.1308592,442.4694005,967.5123152,382.572042,1533.051523,438.0428909,840.0749616,534.1151625,839.6772989,374.784743,2743.005641,762.3520501,1925.536356,630.8967447,3296.115809,2812.296542,2415.421235,1852.263816,1213.571778,663.3293072,1053.161061,433.7848615,778.7611155,697.0553637
8/1/2016,3464.814684,763.3437139,681.023387,469.5361135,1372.651189,752.0387115,1490.532308,915.5309014,1817.868372,1111.554582,601.2930214,372.1718688,2397.797121,1258.178393,551.8237021,254.2889906,1901.215796,1540.35106,2066.710625,1185.709174,603.9382361,482.3605405,1253.338612,650.3828408,676.4714148,486.6575938,918.2737515,439.9190321,1961.269918,592.9439774,1028.851587,619.7782542,718.5042052,393.9748628,4146.778567,789.1466665,1454.299247,674.0739728,3670.673041,3053.101009,2933.423756,2008.441805,879.8849449,759.6715475,758.6997929,463.0616544,748.2125826,699.8609262
